ID;Question;AnswerOne;AnswerTwo;AnswerThree;AnswerFour;Correct;Argument
539;The water supply selector valve has four position:;SUPPLY/DRAIN - ONLY AFT - ONLY FWD - SHUTOFF;"SUPPLY/DRAIN - ONLY GALLEY - ONLY TOILET -
SHUTOFF";SUPPLY/DRAIN - UP - DOWN - SHUTOFF;"SUPPLY/DRAIN - ONLY FAUCET - ONLY TOILET -
SHUTOFF";4;Safety
540;"The lavatory temperature indicator has dots sensible to the temperature, when it increase between 76° and 79°C they change color. Select the correct
sentence:";Green normal temperature, red over temperature;Gray normal temperature, black over temperature;Green normal temperature, black over temperature;Gray normal temperature, red over temperature;2;Safety
541;"About the lavatory fire extinguisher system, if the extinguisher nozzles should become discolored, both the fire extinguisher and the temperature indicator
must be replaced:";True;False;;;1;Safety
542;The Overwing Emergency Exits are commanded locked when three conditions are met. If DC power is lost what happen to the Overwing Emergency Exits?;Unlock and can be opened;Remain locked until DC power is restored;They’re indipended from DC power because they are AC powered;Unlock if engine or APU fire warning switch have been pulled;1;Safety
543;The optimum fire fighting distance for Halon fire extinguisher usage is:;0,5 meter from the fire;1 meter from the fire;5 meters from the fire;1,5 to 2 meters from the fire;4;Safety
544;"Yellow adult life vest are stowed under each passenger seat. In addition, there
are           spare life vests on board the aeroplane:";5;7;10;13;3;Safety
545;In the Neos S.p.A. B737-800 are located a total of         Halon Fire Extinguisher:;5;3;4;6;3;Safety
546;In the Neos S.p.A. B737-800 are located a total of         Water Fire Extinguisher:;1;2;3;4;1;Safety
547;"In the Neos S.p.A. B737-800 are located a total of         Protective Breathing
Equipment (PBE):";5;6;7;8;2;Safety
548;"The phrase “Attention: Crew on Station!” means: 1) Go to assigned CA stations immediately. 2) Show increased attention. 3)                      .  4) Wait further
commands. Select the correct statement for the point 3::";Start an evacuation;None of the answers is correct;Report immediately to the CA1;Report immediately to the Flight Crew.;2;Safety
549;"Approximately the touchdown is expected in       min after the phrase “Attention
Crew: On Station”";4;3;None of the answers is correct;1;3;Safety
550;"In case of an emergency with time to touchdown in excess of 30min the phrase
will be announced by the Flight Crew:";Prepare for emergency landing/ditching;Passenger evacuation;Attention crew on station;N°1 to flight deck;4;Safety
551;In the event of passenger evacuation (land)  what action will the F/O perform after completing the appropriate Non-Normal Checklist?;Help to evacuate at the Door 1R;Take a flashlight, open door 1R (if not yet opened) leave the aeroplane through door 1R, move the passenger away from the aeroplane ,give assistance;"Take a flashlight, open door 1R (if not yet opened) leave the aeroplane just before the Commander through door 1R, move the passenger away from the aeroplane, give
assistance";Collect all documents, exit immediately the aeroplane and reach the nearest authority office;2;Safety
552;"The Cabin oxygen system provide oxygen for the passenger from a chemical oxygen generator located in the overhead modular compartment. Each unit has
masks and will last for approximately          :";4 masks, 12 min;4 masks, 9 min;3 masks, 9 min;3 masks, 12 min;1;Safety
553;The passenger oxygen system provide protection against smoke:;True;False;;;2;Safety
554;The oxygen generator surface temperature may reach 260°C:;True;False;;;1;Safety
555;In the event of the passenger evacuation (sea) what action will the F/O perform after completing the appropriate Non-Normal Checklist?;Help to evacuate at the Door 1R;Take a flashlight, open door 1R (if not yet opened), inflate life vest, leave the aeroplane through door 1R, move the passenger away from the aeroplane, give assistance;"Take a flashlight, open door 1R (if not yet opened) leave the aeroplane just before the Commander throught door 1R, move the passenger away from the aeroplane, give
assistance";Collect all documents, exit immediately the aeroplane and reach the nearest authority office;2;Safety
556;In the event of the passenger evacuation (land) what action will the Commander perform after completing the appropriate Non-Normal Checklist?;Help to evacuate at the Door 1R;"Take a flashlight, proceed to the main cabin and, if evacuation is not complete give help, check cabin clear, leave the aeroplane from any suitable exit and direct passenger away from aeroplane, give assistance as
necessary";Take a flashlight, proceed to the main cabin and, if evacuation is not complete give help, leave the aeroplane from any suitable exit and direct passenger away from aeroplane, give assistance as necessary;Leave the aeroplane through any available exit;2;Safety
557;In the event of the passenger evacuation (water) what action will the Commander perform after completing the appropriate Non-Normal Checklist?;Help to evacuate at the Door 1R;"Take a flashlight, proceed to the main cabin and, if evacuation is not complete give help, check cabin clear, inflate life vest, leave the aeroplane from any suitable exit and direct passenger away from aeroplane, give
assistance as necessary";Take a flashlight, proceed to the main cabin and, if evacuation is not complete give help, leave the aeroplane from any suitable exit and direct passenger away from aeroplane, give assistance as necessary;Leave the aeroplane through any available exit;2;Safety
558;"During deplane with stairs or finger its mandatory for the passenger to take
their hand baggage with them:";True;False;;;1;Safety
559;The difference between an emergency evacuation and a deplane is:;"Only after selected non-normal checklist is possible to
perform the deplane";Deplane procedure is not recommended;"Deplane must be performed purely as a precautionary
measure";"Deplane differ from emergency evacuation because is
ordered by CA1";3;Safety
560;Deplane, select the correct statement:;Can be performed when instructed by the tower;"Follow a situation where the aeroplane must be vacated
purely as precautionary measure";Can be performed only through overwing emergency exit;Deplane procedures is not an approved procedure;2;Safety
561;"When performing deplane through slides the passengers should jump onto the
slides instead sit down:";True;False;;;2;Safety
562;"The command ""Brace, Brace"" is announced by the Flight deck when:";Before landing at about 1500 ft agl;After landing;Before an evaquation;Before landing at about 500ft agl;4;Safety
563;"If the causing condition of an emergency come to an end, the Commander will
make following announcement:";Cancel alert;End of emergency;Resume normal operation;N°1 to the cockpit;1;Safety
564;During refueling with passengers on board 1 pilot must stay in flight deck:;True;False;;;1;Safety
565;"During refueling with passengers on board the door 1L must be open with stair
or jetways in position:";True;False;;;1;Safety
566;During refueling with passengers on board door 1R and 3R must be:;Open with a stair connected or closed with slides armed;Closed with slides not armed;"Open (1R) with stair or jetway connected and closed (3R)
with slides armed";Closed with slides armed;4;Safety
567;During refueling with passengers on board at least minimum Cabin Crew must be in position (one CA for each door) only if door are closed with slides armed:;True;False;;;2;Safety
568;"During refueling with passengers on board the only condition that permits to
keep the door 1R and 3R open is for catering operations with the truck connected:";True;False;;;2;Safety
569;Heat resistant gloves: select correct statement;"Are located in the flight deck and in the cabin near fire
extinguishers and can protect up to 400°C";Are located only in the cargo area;"Are located in the flight deck and in the cabin near fire
extinguishers and can protect up to 200°C";"Are located in the flight deck near fire extinguishers and
can protect up to 200°C";1;Safety
570;Regarding Halon fire extinguisher, uninterrupted discharge time is:;1min;30sec;5min;8-10sec;4;Safety
571;Regarding Water fire extinguisher, uninterrupted discharge time is:;1-2min;30-45sec;5-10min (depending on the cabin altitude);6-10sec;2;Safety
572;"Protective Breathing Equipment (SCOTT type) once activated will provide
oxygen supply and smoke and toxic air protection for:";5min;10min;15min;24min;3;Safety
573;Flashlight battery will provide at lest             hours of light operation:;1;2;3;4;4;Safety
574;Flashlight battery charge can be checked by observing the red condition light. Indications of a fully charged battery is:;Flashes at 3sec interval;Flashes at 4sec interval;Flashes at 10sec interval;Flashes at 9sec interval;2;Safety
575;"Flashlight battery charge can be checked by observing the red condition light.
Indications of a battery to be renewed is:";Flashes at 3sec interval;Flashes at 4sec interval;Flashes at 10sec interval;Flashes at 9sec interval;3;Safety
576;Once the mask have dropped and the generator activated...;Can be stopped by closing the oxygen mask door;Cannot be stopped;"Can be stopped by switch located at the fwd Cabin
Attendant station";"Can be stopped by switch located on the chemical oxygen
generator";2;Safety
577;The primary principle in dealing with a suspect object is that:;The device must be moved immediately;"The device must be moved immediately and placed in a
safe place such as aft toilet";The device should not normally be touched;"The device must be moved immediately and placed close
to a door";3;Safety
578;The LRBL (Least Risk Bomb Location) is:;Near door 1L;Near door 3L;Near door 1R;Near door 3R;4;Safety
579;In case of ditching doors 3L/R must be opened first:;True;False;;;2;Safety
580;In case of ditching the aft door slides are taken away and opened on the wings:;True;False;;;1;Safety
581;PRM (Passenger with Reduced Mobility) in even of evacuation:;Shall leave the aeroplane first;"Shall leave the aeroplane last with escort, who shall slide
with them placed between their legs or receive them at the end of the slide";"Shall leave the aeroplane first with escort, who shall slide
with them placed between their legs or receive them at the end of the slide";Shall leave the aeroplane last with escort, who shall wait with them for a stair;2;Safety
582;"If an aeroplane due to technical problem in flight doesn’t meet anymore the two
independent altitude measurement systems, what statement should the crew tell to the ATC:";Unable RVSM;Unable RVSM due equipment;Unable RVSM due failure;Unable RVSM due altimeter;2;RVSM / B-RNAV
583;"If an aeroplane due to turbulence, what statement should the crew tell to the
ATC:";Unable RVSM;Unable RVSM due weather;Unable RVSM due turbulence;Unable maintain altitude;3;RVSM / B-RNAV
584;"Which statement should the pilot transmit to indicate that the aeroplane is
RVSM approved following a query from the ATC:";Positive RVSM;Cleared RVSM;Auto RVSM;Affirm RVSM;4;RVSM / B-RNAV
585;"Which statement should the pilot transmit to indicate that the aeroplane is not
RVSM approved following a query from the ATC:";Negative RVSM;Not cleared RVSM;No RVSM;Not RVSM approved;1;RVSM / B-RNAV
586;What are the minimum operational equipment required by RVSM?;2 independent altitude measurement systems;"One secondary surveillance measurement radar transponder, with altitude reporting that can be connected to the altitude measurement system in use for altitude keeping one automatic alerting system and one automatic
altitude control system";One automatic alerting system and one automatic altitude control system;All the answers are correct;4;RVSM / B-RNAV
587;RVSM airspace extend vertically from:;FL 290 to FL 410 including;FL 310 to FL 400 including;FL 295 to FL 405 including;FL 300 to FL 400 including;1;RVSM / B-RNAV
588;"Which letter indicate in the ATC flight plan that the aeroplane is RVSM
approved?";Y;W;Y;M;2;RVSM / B-RNAV
589;"Which statement will use ATC to query an aeroplane about the RVSM approval
status?";Confirm aeroplane RVSM status;Confirm positive RVSM;Confirm RVSM approved;Confirm can operate in RVSM;3;RVSM / B-RNAV
590;"Basic-RNAV defines actual European RVAN operations which satisfy a required
“track keeping” accuracy of:";+/- 5nm for at least 95% of the flight time;+/- 0.05nm for at least 95% of the flight time;+/- 0.5nm for at least 95% of the flight time;+/- 3nm for at least 95% of the flight time;1;RVSM / B-RNAV
591;"Operators of non-RVSM approved state aeroplane with a requested flight level of FL 290 or above shall insert ""STS/NONRVSM"" in item 18 of ICAO flight plan.";True.;False.;;;1;RVSM / B-RNAV
592;"Flyng an RNAV SID/STAR is it permitted to change altitude/speed contraint on
the legs page of the FMC?";Yes, but only the speed.;No, it is not permitted.;Yes, but only the altitude.;Both A and C are correct.;2;RVSM / B-RNAV
593;"Flyng an RNAV STAR it's very important to insert the correct transition level on
the FMC?";Yes, but only when the transition level is below 7000ft.;"No, because the FMC has always the correct transition
level stored of procedure to be flown.";"Yes, that's because the pilots check it during the
approach briefing.";"It is not possible to change the transition level stored on
the FMC.";3;RVSM / B-RNAV
594;"Flyng an RNAV SID/STAR is important that the pilots check on the proper FMC
page that RNP 1 is shown.";True.;False.;;;1;RVSM / B-RNAV
595;"A fly-by waypoint requires the use of turn anticipation to avoid overshoot of next
flight segment.";True.;False.;;;1;RVSM / B-RNAV
596;"A fly over waypoint precludes any turn until the waypoint is overflown and is
followed by an intercept maneuver of the next flight segment.";True.;False.;;;1;RVSM / B-RNAV
597;Is it possible to update manually the RNP number on the proper FMC page?;No, because it's a fixed data of the FMC.;"Yes,but it is not recomended because after that the
automatic updating is inhibited until the next landing.";"Yes, it's a Neos S.p.A. S.O.P. to update it during the
flight.";None of the answers are correct.;2;RVSM / B-RNAV
598;What is the vertical boundary of the Oceanic Control Area (OCA)?;FL 55 to unlimited;FL 275 to FL 400;Sea Level to unlimited;FL 100 to unlimited;1;LONG HAUL - ETOPS
599;If in Oceanic Control Area (OCA) a deliberate temporary deviation from track is required, under normal circumstances, usually to avoid severe weather…;ATC approval should be obtained;ATC approval is required only if the deviation is more than 10nm;ATC approval is NOT required;ATC approval should be obtained if below FL 280;1;LONG HAUL - ETOPS
600;The lateral separation for aeroplanes operating outside MNPS is:;90nm;120nm;60nm;30nm;2;LONG HAUL - ETOPS
601;"Standard longitudinal separation between turbojet aeroplanes, operating within
MNPS airspace, provided the Mach Number Technique is applied is:";15min;10min;5min;30min;2;LONG HAUL - ETOPS
602;"Flying in the OCA, if an immediate temporary change in the Mach Number is
essential, ex: due to turbulence, ....";The change must be requested to ATC unit;The new estimate must be notified to ATC unit;"ATC must be notified as soon as possible that such
change has been made";All the answers are correct;3;LONG HAUL - ETOPS
603;If you do NOT receive the oceanic clearance from the ATC unit approaching the OCA boundary …;If you are going to enter Shanwick OCA, you must query domestic ATC and request instructions to remain clear of oceanic airspace whilst awaiting such clearance;In all NAT OCA’s, except Shanwick, you can enter whilst awaiting for a delayed oceanic clearance;If any difficulty is encountered you should NOT hold while awaiting clearance unless so directed by ATC, except entering into Shanwick OCA;All the answers are correct;4;LONG HAUL - ETOPS
604;All RVSM airspace is defined by ICAO as “Special Qualification Airspace”.;True;False;;;1;LONG HAUL - ETOPS
605;Which equipment should be operating normally at entry into RVSM airspace?;Two primary altitude measurement systems, one automatic altitude control system;One automatic altitude control system, one altitude alerting device;"Two serviceable independent primary altitude measuring systems, one altitude alerting system, one automatic altitude control systems, a functioning mode C SSR
transponder";One altitude alerting device, two primary altitude measurement systems, one automatic altitude control system, one radio-altimeter;3;LONG HAUL - ETOPS
606;"Flying within the OCA, what is the lateral separation between aeroplanes
complying with the MNPS requirements?";120nm;60nm;90nm;50nm;2;LONG HAUL - ETOPS
607;"Early information of ETA and Flight Level at Oceanic Boundary is of extreme importance to ATC for planning purposes. Therefore, aroplanes should, as
routine, call Shanwick oceanic control:";Between 00° and 02° West;Between 00° and 01° West;Between 00:09 and 02:00 UTC;40 minutes before OCA entry;4;LONG HAUL - ETOPS
608;"West bound traffic should call Shanwick/Santa Maria as soon as possible. In which order should you send the message?
1) Mach Number
2) OCA entry point and ETA
3) Any change to Flight Plan affecting OCA
4) Flight Level
5) Call Sign
6) The highest acceptable FL which can be maintained at the OCA entry point";1,2,3,4,6,5;4,3,1,2,5,6;3,2,4,1,5,6;5,2,1,4,3,6;4;LONG HAUL - ETOPS
609;"If a change in the Mach Number, during your flight, is requested by Neos S.p.A.
OCC, via Stockholm Radio you should ...";Request a new clearance to the appropriate ATC unit;Notify the new estimate to ATC unit;Report the new Destination Estimate to Malpensa OCC;All the above answers are correct;1;LONG HAUL - ETOPS
610;What are the Vertical and Lateral dimension of MNPS airspace:;FL 285 to FL 420;"Reykjavik CTA to the North Pole; Shanwick OCA; Gander
OCA; Santa Maria OCA";"New York OCA, North of 27°N but excluding the area
west of 60°W and south of 38°30’N";All the above answers are correct;4;LONG HAUL - ETOPS
611;Flying in the OCA, the longitudinal separation between aeroplanes complying with the MNPS requirements is:;10min, for Jet aeroplanes;5min, if the preceding aeroplane arriving at the Oceanic Entry Point is flying at speed Mach 0.06 greater than the following aeroplane, provided it is possible to ensure that required time interval exists at a common point;10nm, if visual separation is maintained;A and B are correct;4;LONG HAUL - ETOPS
612;For all flights intending to operate within MNPS/RVSM airspace for any portion of their flights, which letter should be inserted in Item 10 of ATC Flight Plan?;X-W;Y-S;S-W;W-X-Y;1;LONG HAUL - ETOPS
613;Where can you find the ETOPS approval number issued by ENAC?;"In the ""Certificato di Navigabilità"" issued by RAI";"In the AOC copy issued by ENAC, contained in the
Aeroplane Technical Box";In the OM Part B;In the Operational Flight Plan;2;LONG HAUL - ETOPS
614;GNE (Gross Navigation Error) is defined as a deviation from cleared track of:;20nm;25nm or more;15nm;25nm or less;2;LONG HAUL - ETOPS
615;"How many Long Range Navigation Systems must be serviceable (B737-800) to
enter in a MNPS Airspace?";Two FMSs and two IRSs;Two FMSs and one IRS;One IRS and one FMS;"Two IRSs and one FMC, for aeroplane equipped with
""Standby Navigation System""";4;LONG HAUL - ETOPS
616;Meteorological reports are mandatory flying in the Organized Track System:;It is mandatory send meteorological report at each position report, especially flying in the Organized Track System;Yes they are, but only when requested by ATC using the phrase “send met report”;Meteorological Report are at the complete discretion of the crew;"Aircraft are no longer required to provide voice reports of MET observations of wind speed and direction nor outside air temperature. Nevertheless any turbulence or other significant meteorological conditions encountered should
be reported to ATC.";4;LONG HAUL - ETOPS
617;"The planned Mach Number for each portion of the route within the NAT shall be
specified in item 15 of the ATC Flight Plan.";True;False;;;1;LONG HAUL - ETOPS
618;"From 01:00 UTC to 08:00 UTC (night time) when most of the traffic flow is
eastbound, Track nomination is issued by ...";Gander;Shanwick;Reykjavik;New York;1;LONG HAUL - ETOPS
619;"From 11:30 UTC to 19:00 UTC (day light time) when most traffic flow is
westbound, Track nomination is issued by ...";Gander;Shanwick;New York;Reykjavik;2;LONG HAUL - ETOPS
620;Peak Westbound traffic operating between 11:30 UTC and 19:00 UTC and peak Eastbound traffic between 01:00 UTC and 08:00 UTC, refer to position:;30° E;20° W;30° W;45° W;3;LONG HAUL - ETOPS
621;"OTS Change Over Period time between Westbound NAT and East bound NAT
is:";"08:01 UTC → 11:29 UTC     and     18:01 UTC → 00:59
UTC";"01:00 UTC → 08:00 UTC       and       08:01 UTC → 11:29
UTC";"11:30 UTC → 19:00 UTC       and        19:01 UTC → 00:59
UTC";"08:00 UTC → 11:30 UTC       and       18:00 UTC → 00:01
UTC";1;LONG HAUL - ETOPS
622;"Having planned and filed an Organized Track, the flight is subsequently delayed
to such an extent as to arrive at 30°W after the relevant day or night Tracks have been expired.";The original Flight Plan is expired;A new Flight Plan as to be filled nominating the same route as Random;Delay to such an extent the Track System would be activated again;It doesn’t matter: once the flight has been planned there is no need to change Flight Plan;2;LONG HAUL - ETOPS
623;By who, and in which color the route shall be drawn in the Progress Chart;"PF draws the expected route in red and ETOPS arcs in
yellow";PNF draws the expected route in red;"Commander draws the expected route in yellow and
ETOPS arcs in red";"First Officer draws the expected route in red and ETOPS
arcs in yellow";2;LONG HAUL - ETOPS
624;Oceanic Clearance, expected to be flown into OTS, will be requested/received when first in contact with the appropriate unit. The read back must include:;Full coordinates and Flight Level;Full coordinates, Flight Level and Mach Number;Full coordinates, Flight Level, Mach Number and Spot Wind;Track Letter, Flight Level, Mach Number and Track Message Identification number (TMI);4;LONG HAUL - ETOPS
625;"Flying in the US Airspace, how is it called the route portion between the Costal
Fix and Inland Fix?";Common Portion;Non Common Portion;Domestic Portion;NAT Track;1;LONG HAUL - ETOPS
626;"Flying in the USA Airspace, how is it called the route portion between the Inland
Fix and the destination aerodrome?";Common Portion;Non Common Portion;Inland Portion;NAT Track;2;LONG HAUL - ETOPS
627;"Eastbound flights which cross Gander Domestic FIR in high level structure
between 23:00UTC and 08:00UTC are required";To monitor the appropriate control sector frequency;"To establish contact with “Gander Clearance Delivery”
when within 200nm from Gander";To monitor 121.50 VHF;Answers A) and B) are correct;4;LONG HAUL - ETOPS
628;"Flying in the NAT- MNPS airspace if the estimated time for the next position, last reported to ATC, is found to be in error by ... ? A revised estimated must
be transmitted.";3 or more minutes;More than 3 minutes;2 or more minutes;5 minutes;1;LONG HAUL - ETOPS
629;"What is the Transponder Code that should be set in the North Atlantic FIR
unless otherwise instructed by ATC?";2000 westbound;3000 eastbound;2000 regardless the direction of the flight;2000 day time, 3000 night time;3;LONG HAUL - ETOPS
630;"For non ETOPS flights (twin engine aeroplane) the route must be planned so
that the aeroplane remains within:";60 minutes from an adequate aerodrome;60 minutes from a suitable aerodrome;90 minutes from an adequate aerodrome;90 minutes from a suitable aerodrome;1;LONG HAUL - ETOPS
631;The forecast weather at the ETOPS alternates must meet the requirement for a suitable aerodrome at a specified time. What is the time?;"From one hour prior to the earliest possible arrival at the alternate to one hour after the latest possible arrival at the
alternate";The aerodrome must meet suitability requirements at the time of dispatch;During the entire flight;"From one hour prior to the earliest possible arrival at the alternate to two hours after the latest possible arrival at
the alternate";1;LONG HAUL - ETOPS
632;In addition to the required Trip Fuel which factors are used when computing diversion fuel required for Critical Fuel Scenario (CFS)?;Emergency Descent to 10000ft, two engines level cruise of 250kt, descent to 1500ft, approach, one missed approach, approach and landing;"At the Critical Point (CP), consider simultaneous failures of: one propulsion system and the pressurization system; emergency descent to 10000ft, cruise at 10000ft, approaching the en-route alternate speed 250kt, descent to 1500ft, approach, missed approach, approach and landing";"At the Critical Point (CP), consider simultaneous failures of: one propulsion system and the pressurization system; immediate descent to 10000ft, cruise at 10000ft at one engine inoperative cruise speed, approaching the ETOPS en-route alternate descent to 1500ft, hold for 15min, approach, one missed approach, approach and landing";Emergency Descent to 10000 feet , one engine level cruise of 250kt, descent to 1500ft, approach, one missed approach, approach and landing;3;LONG HAUL - ETOPS
633;"For Neos S.p.A. Boeing 737-800NG operations, which is for planning purposes
the approved one-engine inoperative cruise speed?";430 KTAS;410 KTAS;290 KTAS;250 KTAS;2;LONG HAUL - ETOPS
634;"For Neos S.p.A. Boeing 737-800NG, ETOPS Operations authorized distance
is?";410nm;797nm;820nm;240nm;2;LONG HAUL - ETOPS
635;Flying in NAT MNPS airspace what initial actions should be taken by the Commander of a twin engine aeroplane if one engine becomes inoperative whil on track?;The aeroplane should leave its assigned route or track at least 45° to the right or to the left whenever this is possible, climb or descent while acquiring the offset track, stop the offset at 15NM, as soon as practicable advise ATC.;Obtain ATC clearance, start descent whilst acquiring a track separated by 30nm from assigned track by turning 90° right or left and maintaining a Flight Level which differs from those normally used by 1000ft if above Flight Level 290;"If ATC clearance can not be obtained; initially minimize the descent rate to the extent that is operationally feasible; turn while descending to acquire and maintain in either direction a track laterally separated by 60nm from the assigned route or track and for subsequent level flight, a level should be selected which differs from those normally used by 1000ft if above FL 410 of 500ft if below FL 410";Obtain a revised clearance prior initiating any action;1;LONG HAUL - ETOPS
636;Flying in the Nat MNPS airspace, unless otherwise cleared by ATC, a further turn towards the alternate aerodrome should not be commenced until the aeroplane can maintain a Flight Level which differs from those normally used;1000ft if above Flight Level 290;500ft if above Flight Level 290 or 1000ft if below Flight Level 290;Pilot discretion;Climb or descent 1000ft above Flight Level 410 or 500ft if below Flight Level 410;4;LONG HAUL - ETOPS
637;Flying in NAT MNPS airspace select the correct statement:;20min after entering the OCA select Transponder 2000;30min after entering the OCA select Transponder 2000;20min after entering the OCA select Transponder 2200;20min after entering the OCA select Transponder 7600;2;LONG HAUL - ETOPS
638;Choose the correct OCA boundaries:;"Shanwick Gander N45°W30° NewYork SantaMaria
N45°W40°";"Shanwick Gander N30°W45° NewYork SantaMaria
N30°W45°";"Shanwick Gander N40°W30° NewYork SantaMaria
N40°W40°";"Shanwick Gander N40°W40° NewYork SantaMaria
N40°W30°";1;LONG HAUL - ETOPS
639;"Choose the items which have the greatest influence on the allowable ETOPS
diversion distance:";"Weight at the time of diversion and chosen ETOPS one
engine cruise speed";"ETOPS diversion time and chosen ETOPS one engine
cruise speed";"ETOPS diversion time and aeroplane altitude at the time
of the engine failure";"ETOPS diversion time and chosen ETOPS two engine
cruise speed";2;LONG HAUL - ETOPS
640;Choose the best description of a suitable aerodrome:;A suitable aerodrome is an adequate aerodrome that the airline chooses to use for its ETOPS operations;A suitable aerodrome is an adequate aerodrome with weather reports or forecast or any combination there of, indicating that the weather conditions are at or above operating minima and the field conditions reports indicate that a safe landing can be accomplished;A suitable aerodrome is an adequate aerodrome with weather conditions above minimums;A suitable aerodrome is an adequate aerodrome with forecast weather above minimums;2;LONG HAUL - ETOPS
641;Choose the best description of adequate aerodrome;An adequate aerodrome is any aerodrome along ETOPS route;An adequate aerodrome is an adequate aerodrome with weather reports or forecast or any combination there of, indicating that the weather conditions are at or above operating minima and the field conditions reports indicate that a safe landing can be accomplished;An adequate aerodrome is an aerodrome, which the operator and the authority consider to be adequate, having regard to the performance requirements applicable at the expected landing weight;An adequate aerodrome is an aerodrome with forecast weather above minimums;3;LONG HAUL - ETOPS
642;Choose the best description of EQUAL TIME POINT (ETP):;"Is a point on the aeroplane diversion route which is  located at the same flying time from two suitable diversion
aerodromes";"Is a point on the aeroplane diversion route which is located at the same flying time from two adequate
diversion aerodromes";Is a point on the aeroplane route which is located at the same flying time from two suitable diversion aerodromes;"Is a point on the aeroplane diversion route which is  located at the same flying time from one suitable diversion
aerodromes";3;LONG HAUL - ETOPS
643;Flying in Nat MNPS airspace you experience a complete failure of all navigation systems computers, state the correct procedure:;Divert immediately to the nearest aerodrome;Climb 1000ft or descent 500ft;Climb 1000ft or descent 500ft draw the cleared route, use the basic IRS/GPS outputs to adjust heading, every 15min plot position on the chart;"Draw the cleared route on a chart and extract mean true tracks between waypoints, use the basic IRS/GPS outputs to adjust heading to maintain mean track and to calculate ETA’s, at intervals of not more than 15min plot position(LAT/LONG) on the chart and adjust heading to
regain track.";4;LONG HAUL - ETOPS
644;Flying in NAT MNPS airspace you experience a wake turbulence…;Divert immediately to the nearest aerodrome;"If considered necessary, the pilot may offset from cleared track by up to a maximum of 2nm ATC should be advise and the aeroplane should be returned to cleared track as
soon as the situation allows.";Climb 1000ft or descent 500ft;All the answers are correct;2;LONG HAUL - ETOPS
645;"Critical Point (CP): Is the point on the aeroplane route which is critical with regards to the ETOPS FUEL REQUIREMENTS. The CP is usually but not
always, the last ETP within the ETOPS SEGMENT.";True;False;;;1;LONG HAUL - ETOPS
